Month,MunicipalityNo,OnshoreWindPower,OffshoreWindPower,SolarPower,CentralPower,DecentralPower
2021-12-01T00:00:00,813,8415.324941,1693.31,48.927,0,9056.60686
2021-12-01T00:00:00,810,20642.31181,0,76.183,0,8280.625389
2021-12-01T00:00:00,791,11115.69931,0,164.598,0,27480.84177
2021-12-01T00:00:00,787,38415.14359,0,678.808,0,3374.59375
2021-12-01T00:00:00,779,22222.00026,0,317.832,0,8883.634727
2021-12-01T00:00:00,773,15852.94787,0,218.081,0,2968.51796
2021-12-01T00:00:00,766,4180.412929,0,70.973,0,1673.890957
2021-12-01T00:00:00,760,92008.25973,0,489.933,0,9539.1323
2021-12-01T00:00:00,756,9749.648659,0,53.787,0,2975.55729
2021-12-01T00:00:00,751,1779.256924,0,214.005,283519.6723,30770.79183
2021-12-01T00:00:00,746,3263.557669,0,66.667,0,1782.08608
2021-12-01T00:00:00,741,2653.958062,0,10.742,0,0
2021-12-01T00:00:00,740,3154.764339,0,256.994,0,35494.20894
2021-12-01T00:00:00,730,47760.02824,0,316.142,22870.69441,1942.608929
2021-12-01T00:00:00,727,3248.855289,1284.0282,23.457,0,144.168792
2021-12-01T00:00:00,710,4919.884593,0,46.477,0,1552.418464
2021-12-01T00:00:00,707,7204.354595,156010.9593,252.404,0,0.482179
2021-12-01T00:00:00,706,3053.926059,0,71.689,0,406.027065
2021-12-01T00:00:00,671,13828.88881,0,36.357,0,0
2021-12-01T00:00:00,665,35941.10001,16625.42973,523.514,0,5982.98891
2021-12-01T00:00:00,661,40801.64081,0,1045.295,0,21692.2085
2021-12-01T00:00:00,657,20299.34768,0,175.184,39798.50773,2675.823341
2021-12-01T00:00:00,630,7113.569949,0,559.564,0,2024.515194
2021-12-01T00:00:00,621,5026.798383,0,101.278,0,4688.17653
2021-12-01T00:00:00,615,650.196826,0,126.873,0,1153.473094
2021-12-01T00:00:00,607,329.468734,0,35.271,16698.02222,13899.09238
2021-12-01T00:00:00,580,11557.25261,0,215.758,0,586.01457
2021-12-01T00:00:00,575,7994.959907,0,64.462,0,1650.678457
2021-12-01T00:00:00,573,18573.85509,0,111.891,0,3818.154762
